DrugBank_Name	DrugBank_ID	Synonyms	Targets_List_STRINGIDs	Targets_List_GeneNames	Targets_List
phenprocoumon	DB00946	3-(1-phenylpropyl)-4-hydroxycoumarin | 3-(1'-phenyl-propyl)-4-oxycoumarin | 3-(alpha-ethylbenzyl)-4-hydroxycoumarin | 3-(alpha-phenylpropyl)-4-hydroxycoumarin | 4-hydroxy-3-(1-phenylpropyl)-2h-1-benzopyran-2-one | 4-hydroxy-3-(1-phenylpropyl)-2h-chromen-2-one | fenprocumon | fenprocumone | phenprocoumarol | phenprocoumarole | phenprocoumon | phenprocoumone | phenprocoumonum | phenprocumone	9606.ENSP00000378426	VKORC1	Q9BQB6
fulvestrant	DB00947	"(7î±,17î²)-7-{9-[(4,4,5,5,5-pentafluoropentyl)sulfinyl]nonyl}estra-1(10),2,4-triene-3,17-diol | fulvestrant"	9606.ENSP00000405330	ESR1	P03372
felbamate	DB00949	"2-phenyl-1,3-propanediol dicarbamate | carbamic acid 2-phenyltrimethylene ester | carbamic acid 3-carbamoyloxy-2-phenyl-propyl ester | felbamate | felbamato | felbamatum"	"9606.ENSP00000477455, 9606.ENSP00000332549"	"GRIN2B, GRIN2A"	"Q13224, Q12879"
fexofenadine	DB00950	"4-(1-hydroxy-4-(4-(hydroxydiphenylmethyl)-1-piperidinyl)butyl)-alpha,alpha-dimethylbenzeneacetic acid | carboxyterfenadine | fexofenadina | fexofenadine | terfenadine acid metabolite | terfenadine carboxylate | terfenadine-cooh"	9606.ENSP00000380247	HRH1	P35367
isoniazid	DB00951	4-pyridinecarbohydrazide | inh | isoniazid | isoniazida | isonicotinic acid hydrazide | isonicotinic hydrazide | isonicotinohydrazide | isonicotinoylhydrazide | isonicotinsã¤urehydrazid | isonicotinylhydrazine | pyridine-4-carboxylic acid hydrazide	"9606.ENSP00000342007, 9606.ENSP00000498939, 9606.ENSP00000360317, 9606.ENSP00000360372"	"CYP1A2, CYP3A4, CYP2C8, CYP2C19"	"P05177, P08684, P10632, P33261"
naratriptan	DB00952	n-methyl-2-(3-(1-methylpiperiden-4-yl)indole-5-yl)ethanesulfonamide | n-methyl-2-[3-(1-methyl-4-piperidyl)-1h-indol-5-yl]-ethanesulfonamide | naratriptã¡n | naratriptan | naratriptanum	"9606.ENSP00000316244, 9606.ENSP00000322924, 9606.ENSP00000363748, 9606.ENSP00000358963"	"HTR1A, HTR1F, HTR1D, HTR1B"	"P08908, P30939, P28221, P28222"
rizatriptan	DB00953	"n,n-dimethyl-2-[5-(1,2,4-triazol-1-ylmethyl)-1h-indol-3-yl]-ethanamine | n,n-dimethyl-5-(1h-1,2,4-triazol-1-ylmethyl)-1h-indole-3-ethanamine | risatriptan | rizatriptã¡n | rizatriptan | rizatriptanum"	"9606.ENSP00000316244, 9606.ENSP00000322924, 9606.ENSP00000307766, 9606.ENSP00000337949, 9606.ENSP00000363748, 9606.ENSP00000358963"	"HTR1A, HTR1F, HTR1E, HTR7, HTR1D, HTR1B"	"P08908, P30939, P28566, P34969, P28221, P28222"
hydrocodone	DB00956	"(-)-dihydrocodeinone | 4,5-alpha-epoxy-3-methoxy-17-methylmorphinan-6-one | dihydrocodeinone | hidrocodona | hydrocodon | hydrocodone | hydrocodonum | hydrocone | hydroconum | idrocodone"	"9606.ENSP00000277010, 9606.ENSP00000234961, 9606.ENSP00000394624"	"SIGMAR1, OPRD1, OPRM1"	"Q99720, P41143, P35372"
norgestimate	DB00957	"(+)-13-ethyl-17-hydroxy-18,19-dinor-17î±-pregn-4-en-20-yn-3-one oxime acetate (ester) | (17î±)-17-(acetyloxy)-13-ethyl-18,19-dinorpregn-4-en-20-yn-3-one 3-oxime | d-13î²-ethyl-17î±-ethynyl-17î²-acetoxygon-4-en-3-one oxime | dexnorgestrel acetime | norgestimate | norgestimato | norgestimatum"	"9606.ENSP00000405330, 9606.ENSP00000363822, 9606.ENSP00000325120"	"ESR1, AR, PGR"	"P03372, P10275, P06401"
methylprednisolone	DB00959	"(6î±,11î²)-11,17,21-trihydroxy-6-methylpregna-1,4-diene-3,20-dione | 1-dehydro-6î±-methylhydrocortisone | 6î±-methyl-11î²,17î±,21-triol-1,4-pregnadiene-3,20-dione | delta(1)-6alpha-methylhydrocortisone | methylprednisolon | methylprednisolone | methylprednisolonum | metilprednisolona"	"9606.ENSP00000366109, 9606.ENSP00000231509"	"ANXA1, NR3C1"	"P04083, P04150"
pindolol	DB00960	1-(1h-indol-4-yloxy)-3-(isopropylamino)propan-2-ol | 1-(1h-indol-4-yloxy)-3-(propan-2-ylamino)-propan-2-ol | 1-(1h-indol-4-yloxy)-3-[(1-methylethyl)amino]propan-2-ol | 4-(2-hydroxy-3-isopropylaminopropoxy)-indole | pindolol | pindololum	"9606.ENSP00000358301, 9606.ENSP00000316244, 9606.ENSP00000305372, 9606.ENSP00000358963, 9606.ENSP00000343782"	"ADRB1, HTR1A, ADRB2, HTR1B, ADRB3"	"P08588, P08908, P07550, P28222, P13945"
mepivacaine	DB00961	"(+-)-1-methyl-2',6'-pipecoloxylidide | 1-methyl-2',6'-pipecoloxylidide | dl-mepivacaine | mepivacaina | mepivacaine | mepivacainum | n-(2,6-dimethylphenyl)-1-methyl-2-piperidinecarboxamide | n-(2,6-dimethylphenyl)-1-methylpiperidine-2-carboxamide"	9606.ENSP00000390600	SCN10A	Q9Y5Y9
zaleplon	DB00962	"3'-(3-cyanopyrazolo(1,5-a)pyrimidin-7-yl)-n-ethylacetanilide | zaleplon"	9606.ENSP00000393097	GABRA1	P14867
bromfenac	DB00963	[2-amino-3-(4-bromo-benzoyl)-phenyl]-acetic acid | 2-amino-3-(4-bromobenzoyl)benzeneacetic acid | bromfenac | bromfenaco | bromfenacum	"9606.ENSP00000354612, 9606.ENSP00000356438"	"PTGS1, PTGS2"	"P23219, P35354"
apraclonidine	DB00964	4-aminoclonidine | apraclonidina | apraclonidine | apraclonidinum	"9606.ENSP00000280155, 9606.ENSP00000369960, 9606.ENSP00000480573"	"ADRA2A, ADRA1A, ADRA2B"	"P08913, P35348, P18089"
telmisartan	DB00966	"4'-((1,4'-dimethyl-2'-propyl(2,6'-bi-1h-benzimidazol)-1'-yl)methyl)-(1,1'-biphenyl)-2-carboxylic acid | 4'-((4-methyl-6-(1-methyl-2-benzimidazolyl)-2-propyl-1-benzimidazolyl)methyl)-2-biphenylcarboxylic acid | 4'-[(1,4'-dimethyl-2'propyl[2,6'-bi-1h-benzimidazol]-1'-yl)methyl]-[1,1'-biphenyl]-2-carboxylic acid | 4'-[(1,7'-dimethyl-2'-propyl-1h,3'h-2,5'-bibenzimidazol-3'-yl)methyl]biphenyl-2-carboxylic acid | telmisartan"	"9606.ENSP00000398832, 9606.ENSP00000287820"	"AGTR1, PPARG"	"P30556, P37231"
desloratadine	DB00967	"8-chloro-11-piperidin-4-ylidene-6,11-dihydro-5h-benzo[5,6]cyclohepta[1,2-b]pyridine | 8-chloro-6,11-dihydro-11-(4-piperidinylidene)-5h-benzo(5,6)cyclohepta(1,2-b)pyridine | descarboethoxyloratadine | desloratadina | desloratadine"	9606.ENSP00000380247	HRH1	P35367
methyldopa	DB00968	(s)-(-)-alpha-methyldopa | 3-hydroxy-alpha-methyl-l-tyrosine | alpha medopa | alpha-methyl dopa | alpha-methyl-l-dopa | alphamethyldopa | amd | anhydrous methyldopa | l-alpha-methyldopa | l-methyl dopa | methyl dopa | methyldopa | methyldopa anhydrous | metildopa | î±-methyl dopa | î±-methyl-l-dopa	"9606.ENSP00000280155, 9606.ENSP00000403644"	"ADRA2A, DDC"	"P08913, P20711"
alosetron	DB00969	"2,3,4,5-tetrahydro-5-methyl-2-((5-methyl-1h-imidazol-4-yl)methyl)-1h-pyrido(4,3-b)indol-1-one | alosetron"	9606.ENSP00000347754	HTR3A	P46098
dactinomycin	DB00970	"2-amino-n,n'-bis(hexadecahydro-2,5,9-trimethyl-6,13-bis(1-methylethyl)-1,4,7,11,14-pentaoxo-1h-pyrrolo(2,1-i)(1,4,7,10,13)oxatetra-azacyclohexadecin-10-yl)-4,6-dimethyl-3-oxo-3h-phenoxazine-1,9-dicarboxamide | 3h-phenoxazine-1,9-dicarboxamide, 2-amino-n,n'-bis(hexadecahydro-6,13-diisopropyl-2,5,9-trimethyl-1,4,7,11,14-pentaoxo-1h-pyrrolo(2,1-i)(1,4,7,10,13)oxatetraazacyclohexadecin-10-yl)-4,6-dimethyl-3-oxo- | actd | actinomycin c1 | actinomycin d | actinomycin i1 | actinomycin iv | actinomycin x1 | actinomycin-d | ana-conjugated dactinomycin nanoemulsion | dactinomicina | dactinomycin | dactinomycine | dactinomycinum | dilactone actinomycin d acid | meractinomycin | n,n'-((2-amino-4,6-dimethyl-3-oxo-3h-phenoxazine-1,9-diyl)-bis(carbonylimino(2-hydroxypropylidene)carbonyliminoisobutylidenecarbonyl-1,2-pyrrolidinediylcarbonyl(methylimino)methylenecarbonyl))bis(n-methyl-l-valine) dilactone | oncostatin k"	"9606.ENSP00000354522, 9606.ENSP00000411532, 9606.ENSP00000264331"	"TOP1, TOP2A, TOP2B"	"P11387, P11388, Q02880"
azelastine	DB00972	4-(p-chlorobenzyl)-2-(hexahydro-1-methyl-1h-azepin-4-yl)-1-(2h)-phthalazinone | azelastina | azelastine | azã©lastine | azelastinum	"9606.ENSP00000366506, 9606.ENSP00000380247, 9606.ENSP00000292596, 9606.ENSP00000312286"	"HRH2, HRH1, LTC4S, PLA2G1B"	"P25021, P35367, Q16873, P04054"
ezetimibe	DB00973	ezetimiba | ã©zã©timibe | ezetimibe | ezetimibum	"9606.ENSP00000356591, 9606.ENSP00000289547, 9606.ENSP00000300060"	"SOAT1, NPC1L1, ANPEP"	"P35610, Q9UHC9, P15144"
dipyridamole	DB00975	dipiridamol | dipyridamine | dipyridamole | dipyridamolum | dipyudamine | dypyridamol	"9606.ENSP00000347046, 9606.ENSP00000355847, 9606.ENSP00000259396, 9606.ENSP00000370078, 9606.ENSP00000361965, 9606.ENSP00000370527"	"PDE5A, PDE10A, ORM1, PDE4A, ADA, RCAN1"	"O76074, Q9Y233, P02763, P27815, P00813, P53805"
ethinylestradiol	DB00977	"17-ethinyl-3,17-estradiol | 17-ethinyl-3,17-oestradiol | 17-ethinylestradiol | 17alpha-ethinyl estradiol | 17î±-ethynylestradiol | ethinyl estradiol | ethinylestradiol | ethinylestradiolum | ethinyloestradiol | ethynyl estradiol | etinilestradiol"	"9606.ENSP00000405330, 9606.ENSP00000336528"	"ESR1, NR1I2"	"P03372, O75469"
lomefloxacin	DB00978	"(â±)-1-ethyl-6,8-difluoro-1,4-dihydro-7-(3-methyl-1-piperazinyl)-4-oxo-3-quinolinecarboxylic acid | 1,4-dihydro-6,8-difluoro-1-ethyl-7-(3-methyl-1-piperazinyl)-4-oxo-3-quinolinecarboxylic acid | lflx | lomefloxacin | lomefloxacine | lomefloxacino | lomefloxacinum"	9606.ENSP00000411532	TOP2A	P11388
cyclopentolate	DB00979	(â±)-cyclopentolate | 1-hydroxy-î±-phenylcyclopentaneacetic acid 2-(dimethylamino)ethyl ester | 2-(dimethylamino)ethyl 1-hydroxy-î±-phenylcyclopentaneacetate | 2-(dimethylamino)ethyl 2-(1-hydroxycyclopentyl)-2-phenylacetate | 2-phenyl-2-(1-hydroxycyclopentyl)ethanoic acid î²-(dimethylamino)ethyl ester | ciclopentolato | cyclopentolate | cyclopentolatum | î±-(1-hydroxycyclopentyl)benzeneacetic acid 2-(dimethylamino)ethyl ester | î²-(dimethylamino)ethyl (1-hydroxycyclopentyl)phenylacetate | î²-dimethylaminoethyl (1-hydroxycyclopentyl)phenylacetate	9606.ENSP00000306490	CHRM1	P11229
ramelteon	DB00980	ramelteon	"9606.ENSP00000257068, 9606.ENSP00000302811"	"MTNR1B, MTNR1A"	"P49286, P48039"
physostigmine	DB00981	eserine | physostigmine | physostol	"9606.ENSP00000303211, 9606.ENSP00000359285, 9606.ENSP00000357461"	"ACHE, CHRNA4, CHRNB2"	"P22303, P43681, P17787"
isotretinoin	DB00982	"(7e,9e,11e,13z)-retinoic acid | 13-cis-retinoic acid | 13-cis-vitamin a acid | 13-ra | cis-ra | isotretinoin | isotretinoã­na | isotrã©tinoine | isotretinoino | isotretinoinum | neovitamin a acid"	"9606.ENSP00000388510, 9606.ENSP00000254066"	"RARG, RARA"	"P13631, P10276"
formoterol	DB00983	2'-hydroxy-5'-(1-hydroxy-2-((p-methoxy-î±-methylphenethyl)amino)ethyl)formanilide | 2'-hydroxy-5'-{1-hydroxy-2-[(p-methoxy-î±-methylphenethyl)amino]ethyl}formanilide | formoterol | formoterolum | n-[2-hydroxy-5-(1-hydroxy-2-{[2-(4-methoxyphenyl)-1-methylethyl]amino}ethyl)phenyl]formamide	"9606.ENSP00000358301, 9606.ENSP00000305372, 9606.ENSP00000343782"	"ADRB1, ADRB2, ADRB3"	"P08588, P07550, P13945"
nandrolone phenpropionate	DB00984	19ntpp | nadrolone phenylpropionate | nandrolon phenylpropionate | nandrolone phenpropionate | nandrolone phenylpionate | nandrolone phenylpropionate | norandrolone phenyl propionate | norandrostenolone phenylpropionate | nortestosterone phenylpropionate | npp | ntpp	9606.ENSP00000363822	AR	P10275
dimenhydrinate	DB00985	"(o-benzhydryl(dimethylamino)ethanol) 8-chlorotheophyllinate | 8-chloro-1,3-dimethyl-3,7-dihydro-1h-purine-2,6-dione - 2-(diphenylmethoxy)-n,n-dimethylethanamine (1:1) | benzhydryl-î²-dimethylaminoethylether 8-chlorotheophylline | dimenhidrinato | dimenhydrinate | dimenhydrinatum | diphenhydramine 8-chlorotheophyllinate | diphenhydramine 8-chlorotheophylline | diphenhydramine theoclate | n,n-dimethyl-2-diphenylmethoxyethylamine 8-chlorotheophyllinate | o-benzhydryldimethylaminoethanol 8-chlorotheophyllinate | î²-dimethylaminoethyl benzhydryl ether 1,3-dimethyl-8-chloroxanthine"	9606.ENSP00000380247	HRH1	P35367
glycopyrronium	DB00986	glicopirronio | glycopyrrolate | glycopyrrolate cation | glycopyrrolate ion | glycopyrronium | glycopyrronium cation | glycopyrronium ion	"9606.ENSP00000255380, 9606.ENSP00000306490, 9606.ENSP00000372750, 9606.ENSP00000409378, 9606.ENSP00000399745"	"CHRM3, CHRM1, CHRM5, CHRM4, CHRM2"	"P20309, P11229, P08912, P08173, P08172"
cytarabine	DB00987	1-beta-d-arabinofuranosylcytosine | 4-amino-1-beta-d-arabinofuranosyl-2(1h)-pyrimidinone | citarabina | cytarabine | cytarabine liposome | cytarabinum | cytosine arabinoside | cytosine-1-beta-d-arabinofuranoside | cytosine-î²-d-arabinofuranoside	9606.ENSP00000265421	POLB	P06746
dopamine	DB00988	"2-(3,4-dihydroxyphenyl)ethylamine | 3-hydroxytyramine | 3,4-dihydroxyphenethylamine | 4-(2-aminoethyl)-1,2-benzenediol | 4-(2-aminoethyl)benzene-1,2-diol | 4-(2-aminoethyl)catechol | 4-(2-aminoethyl)pyrocatechol | dopamina | dopamine | dopaminum | oxytyramine"	"9606.ENSP00000377353, 9606.ENSP00000496339, 9606.ENSP00000376776, 9606.ENSP00000306129, 9606.ENSP00000316244, 9606.ENSP00000347754, 9606.ENSP00000176183, 9606.ENSP00000219833, 9606.ENSP00000373169, 9606.ENSP00000270349, 9606.ENSP00000337949, 9606.ENSP00000261707, 9606.ENSP00000354859, 9606.ENSP00000270142, 9606.ENSP00000377353, 9606.ENSP00000306129, 9606.ENSP00000260191"	"DRD1, SLC18A2, DBH, DRD5, HTR1A, HTR3A, DRD4, SLC6A2, DRD3, SLC6A3, HTR7, SLC6A4, DRD2, SOD1, DRD1, DRD5, HTR3B"	"P21728, Q05940, P09172, P21918, P08908, P46098, P21917, P23975, P35462, Q01959, P34969, P31645, P14416, P00441, P21728, P21918, O95264"
rivastigmine	DB00989	(s)-3-(1-(dimethylamino)ethyl)phenyl ethylmethylcarbamate | m-((s)-1-(dimethylamino)ethyl)phenyl ethylmethylcarbamate | rivastigmina | rivastigmine	"9606.ENSP00000303211, 9606.ENSP00000264381"	"ACHE, BCHE"	"P22303, P06276"
exemestane	DB00990	"6-methyleneandrosta-1,4-diene-3,17-dione | exemestane | exemestano | exemestanum"	9606.ENSP00000379683	CYP19A1	P11511
oxaprozin	DB00991	oxaprozin | oxaprozina | oxaprozine | oxaprozinum	"9606.ENSP00000354612, 9606.ENSP00000356438"	"PTGS1, PTGS2"	"P23219, P35354"
azathioprine	DB00993	6-((1-methyl-4-nitro-1h-imidazol-5-yl)thio)-1h-purine | 6-(1'-methyl-4'-nitro-5'-imidazolyl)-mercaptopurine | azamun | azathioprine | azathioprinum | azatioprina	9606.ENSP00000348461	RAC1	P63000
neomycin	DB00994	fradiomycin | kaomycine | neomicina | neomycin | vonamycin	9606.ENSP00000420194	CASR	P41180
auranofin	DB00995	"(1-thio-beta-d-glucopyranosato)(triethylphosphine)gold 2,3,4,6-tetraacetate | 2,3,4,6-tetra-o-acetyl-1-thio-beta-d-glucopyranosato-s (triethylphosphine)gold | auranofin | auranofina | auranofine | auranofinum | triethylphosphine gold"	"9606.ENSP00000265462, 9606.ENSP00000430684"	"PRDX5, IKBKB"	"P30044, O14920"
gabapentin	DB00996	1-(aminomethyl)cyclohexaneacetic acid | gabapentin | gabapentina | gabapentine | gabapentino | gabapentinum	"9606.ENSP00000356205, 9606.ENSP00000349320, 9606.ENSP00000418081, 9606.ENSP00000373648, 9606.ENSP00000345055, 9606.ENSP00000360423"	"ADORA1, CACNA2D1, CACNA2D2, KCNQ3, KCNQ5, CACNA1B"	"P30542, P54289, Q9NY47, O43525, Q9NR82, A0A024R8I1, Q00975"
doxorubicin	DB00997	"(1s,3s)-3-glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-î±-l-lyxo-hexopyranoside | (8s-cis)-10-((3-amino-2,3,6-trideoxy-î±-l-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione | 14-hydroxydaunomycin | 14-hydroxydaunorubicine | doxorubicin | doxorubicin nanoparticles | doxorubicina | doxorubicine | doxorubicinum | hydroxydaunorubicin | mtc-dox | mtc-dox for injection"	"9606.ENSP00000411532, 9606.ENSP00000354522, 9606.ENSP00000264331, 9606.ENSP00000385410"	"TOP2A, TOP1, TOP2B, NOLC1"	"P11388, P11387, Q02880, Q14978"
frovatriptan	DB00998	frovatriptan	"9606.ENSP00000363748, 9606.ENSP00000358963"	"HTR1D, HTR1B"	"P28221, P28222"
hydrochlorothiazide	DB00999	hctz | hidroclorotiazida | hydrochlorothiazide | hydrochlorothiazidum	"9606.ENSP00000402152, 9606.ENSP00000286628"	"SLC12A3, KCNMA1"	"P55017, Q12791"
salbutamol	DB01001	albuterol | salbutamol | salbutamolum	"9606.ENSP00000358301, 9606.ENSP00000305372, 9606.ENSP00000343782"	"ADRB1, ADRB2, ADRB3"	"P08588, P07550, P13945"
levobupivacaine	DB01002	"(-)-bupivacaine | (s)-1-butyl-2',6'-pipecoloxylidide | (s)-bupivacaine | l-(-)-1-butyl-2',6'-pipecoloxylidide | l-(â)-bupivacaine | levobupivacaã­na | levobupivacaine"	9606.ENSP00000390600	SCN10A	Q9Y5Y9
cromoglicic acid	DB01003	5-[3-(2-carboxy-4-oxo-4h-5-chromenyloxy)-2-hydroxypropoxy]-4-oxo-4h-2-chromenecarboxylic acid | acide cromoglicique | acido cromoglicico | acidum cromoglicicum | cromoglicate | cromoglicic acid | cromoglycate | cromoglycic acid | cromolyn	9606.ENSP00000296370	S100P	P25815
hydroxyurea	DB01005	carbamohydroxamic acid | carbamohydroximic acid | carbamoyl oxime | carbamyl hydroxamate | hidroxicarbamida | hydrea | hydroxycarbamid | hydroxycarbamide | hydroxycarbamidum | hydroxyharnstoff | hydroxyurea | n-carbamoylhydroxylamine | n-hydroxyurea | oxyurea	9606.ENSP00000300738	RRM1	P23921
letrozole	DB01006	letrozol | letrozole	9606.ENSP00000379683	CYP19A1	P11511
tioconazole	DB01007	tioconazol | tioconazole | tioconazolum	9606.ENSP00000003100	CYP51A1	Q16850
ketoprofen	DB01009	2-(3-benzoylphenyl)propionic acid | 3-benzoyl-alpha-methylbenzeneacetic acid | 3-benzoyl-î±-methylbenzeneacetic acid | 3-benzoylhydratropic acid | ketoprofen | ketoprofeno | l'acide (benzoyl-3-phenyl)-2-propionique | m-benzoylhydratropic acid	"9606.ENSP00000354612, 9606.ENSP00000356438, 9606.ENSP00000295683"	"PTGS1, PTGS2, CXCR1"	"P23219, P35354, P25024"
edrophonium	DB01010	"(3-hydroxyphenyl)dimethylethylammonium | 3-hydroxy-n,n-dimethyl-n-ethylanilinium | edrophonium cation | edrophonium ion | ethyl-(3-hydroxy-phenyl)-dimethyl-ammonium | n-ethyl-3-hydroxy-n,n-dimethylanilinium | n-ethyl-3-hydroxy-n,n-dimethylbenzenaminium"	"9606.ENSP00000303211, 9606.ENSP00000264381"	"ACHE, BCHE"	"P22303, P06276"
metyrapone	DB01011	metirapona | mã©tyrapone | metyrapone | metyraponum	9606.ENSP00000292427	CYP11B1	P15538
cinacalcet	DB01012	(r)-î±-methyl-n-[3-[3-(trifluoromethyl)phenyl]propyl]-1-naphthalenemethane amine | cinacalcet | cnc | n-((1r)-1-(naphthalen-1-yl)ethyl)-3-(3-(trifluoromethyl)phenyl)propan-1-amine	9606.ENSP00000420194	CASR	P41180
clobetasol propionate	DB01013	"21-chloro-9-fluoro-11î²,17-dihydroxy-16î²-methylpregna-1,4-diene-3,20-dione 17-propionate | clobetasol 17-propanoate | clobetasol 17-propionate | clobetasol propionate | clobetasol propionate e"	"9606.ENSP00000366109, 9606.ENSP00000350815, 9606.ENSP00000231509"	"ANXA1, NR3C2, NR3C1"	"P04083, P08235, P04150"
balsalazide	DB01014	"(e)-5-((4-(((2-carboxyethyl)amino)carbonyl)phenyl)azo)-2-hydroxybenzoic acid | (e)-5-({p-[(2-carboxyethyl)carbamoyl]phenyl}azo)-2-salicylic acid | 3-(2-{4-[(2-carboxyethyl)carbamoyl]phenyl}hydrazinylidene)-6-oxocyclohexa-1,4-diene-1-carboxylic acid | 5-[4-(2-carboxy-ethylcarbamoyl)-phenylazo]-2-hydroxy-benzoic acid | balsalazida | balsalazide | balsalazidum"	"9606.ENSP00000354612, 9606.ENSP00000287820, 9606.ENSP00000363512, 9606.ENSP00000356438"	"PTGS1, PPARG, ALOX5, PTGS2"	"P23219, P37231, P09917, P35354"
glyburide	DB01016	1-((p-(2-(5-chloro-o-anisamido)ethyl)phenyl)sulfonyl)-3-cyclohexylurea | 1-(p-(2-(5-chloro-2-methoxybenzamido)ethyl)benzenesulfonyl)-3-cyclohexylurea | 5-chloro-n-(2-(4-((((cyclohexylamino)carbonyl)amino)sulfonyl)phenyl)ethyl)-2-methoxybenzamide | glibenclamida | glibenclamide | glibenclamidum | glyburide	"9606.ENSP00000363868, 9606.ENSP00000265641, 9606.ENSP00000261200, 9606.ENSP00000497931, 9606.ENSP00000003084, 9606.ENSP00000345708, 9606.ENSP00000499300, 9606.ENSP00000494321, 9606.ENSP00000345708, 9606.ENSP00000252826"	"ABCA1, CPT1A, ABCC9, ABCB11, CFTR, KCNJ11, KCNJ8, ABCC8, KCNJ11, TRPM4"	"O95477, P50416, O60706, O95342, P13569, Q14654, Q15842, Q09428, Q14654, Q8TD43"
minocycline	DB01017	"(4s,4as,5ar,12as)-4,7-bis(dimethylamino)-3,10,12,12a-tetrahydroxy-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide | 7-dimethylamino-6-demethyl-6-deoxytetracycline | minociclina | minociclinum | minocyclin | minocycline | minocyclinum | minomycin"	"9606.ENSP00000327251, 9606.ENSP00000361405, 9606.ENSP00000363512, 9606.ENSP00000433138, 9606.ENSP00000307786, 9606.ENSP00000263341, 9606.ENSP00000311032, 9606.ENSP00000215832, 9606.ENSP00000333685, 9606.ENSP00000215659, 9606.ENSP00000211287, 9606.ENSP00000229795, 9606.ENSP00000337691, 9606.ENSP00000263025, 9606.ENSP00000383234, 9606.ENSP00000261845, 9606.ENSP00000311005, 9606.ENSP00000378974, 9606.ENSP00000394560"	"NOS2, MMP9, ALOX5, CASP1, CYCS, IL1B, CASP3, MAPK1, MAPK11, MAPK12, MAPK13, MAPK14, MAPK15, MAPK3, MAPK4, MAPK6, MAPK7, MAPK8, MAPK9"	"P35228, P14780, P15692, P09917, P29466, P99999, P01584, P42574, P28482, P53779, Q15759, P53778, O15264, Q16539, Q8TD08, P27361, P31152, Q16659, Q13164, P45983, P45984"
guanfacine	DB01018	guanfacina | guanfacine | guanfacinum	"9606.ENSP00000280155, 9606.ENSP00000480573"	"ADRA2A, ADRA2B"	"P08913, P18089"
bethanechol	DB01019	"(2-hydroxypropyl)trimethylammonium carbamate | 2-(carbamoyloxy)-n,n,n-trimethylpropan-1-aminium | 2-carbamoyloxypropyl-trimethylazanium | amidopropyldimethylbetaine | bethanechol | carbamoyl-beta-methylcholine | carbamoyl-î²-methylcholine | carbamyl-beta-methylcholine | carbamyl-î²-methylcholine"	"9606.ENSP00000255380, 9606.ENSP00000306490, 9606.ENSP00000372750, 9606.ENSP00000409378, 9606.ENSP00000399745"	"CHRM3, CHRM1, CHRM5, CHRM4, CHRM2"	"P20309, P11229, P08912, P08173, P08172"
isosorbide mononitrate	DB01020	is 5-mn | is-5-mn | is-5mn | ismn | iso-5-mononitrate | isosorbide 5-mononitrate | isosorbide 5-nitrate | isosorbide mononitrate | isosorbide-5-mononitrate | isosorbidi mononitras | mononitrate d'isosorbide | mononitrato de isosorbida | monosorbitrate	9606.ENSP00000282249	GUCY1A2	P33402
trichlormethiazide	DB01021	trichlormethiazide | triclormetiazida	"9606.ENSP00000430656, 9606.ENSP00000285379, 9606.ENSP00000402152, 9606.ENSP00000300900, 9606.ENSP00000445306"	"CA1, CA2, SLC12A3, CA4, ATP1A1"	"P00915, P00918, P55017, P22748, P05023"
phylloquinone	DB01022	"2-methyl-3-(3,7,11,15-tetramethyl-2-hexadecenyl)-1,4-naphthalenedione | 2-methyl-3-[(2e)-3,7,11,15-tetramethyl-2-hexadecenyl]naphthoquinone | 2-methyl-3-phytyl-1,4-naphthochinon | 2-methyl-3-phytyl-1,4-naphthoquinone | 3-phytylmenadione | alpha-phylloquinone | fitomenadiona | phyllochinon | phyllochinonum | phylloquinone | phythyl-menadion | phytomenadione | phytomenadionum | phytonadione | phytonadionum | phytylmenadione | trans-phylloquinone | vitamin k | vitamin k1 | î±-phylloquinone"	"9606.ENSP00000233838, 9606.ENSP00000357255"	"GGCX, BGLAP"	"P38435, P02818"
